Year,Season,SITE,Type,TEMP,DEPTH,Urchin_Density,Prop_urchins_exp,Gonad Index,Test_Diameter,Stipe_Density,Stipe_total,Log+1_PUR_Density,Residual_Prop_urchins_exp
2018,Summer,RT_057,RT,11,7.5,1.1875,0,3.591337326,39.9,5.780507533,454,0.782759339,-0.041120372
2018,Summer,RT_058,RT,11,7,0.5,0,5.448642265,38,7.906817573,621,0.405465108,0.062577652
2018,Summer,RT_059,RT,13,4.7,0.5625,0,5.479391243,32.75,2.928450953,230,0.446287103,0.051357867
2018,Summer,RT_060,RT,12,11.4,1.75,0,4.768460051,39.5,3.183098862,250,1.011600912,-0.104016693
2018,Summer,RT_062,RT,13,4.3,3.3125,0,8.122883005,35.27272727,12.75786024,1002,1.461517782,-0.2276748
2018,Summer,RT_063,RT,11,10.2,13.9375,0,2.960353619,35.64285714,3.514141143,276,2.70387483,-0.569132369
2018,Summer,RT_064,RT,12,9.1,1.3125,0,4.707479226,35.125,9.460169817,743,0.83832919,-0.056393555
2018,Summer,RT_065,RT,13,6,2.9375,0,6.98294491,44.57142857,9.205521908,723,1.370546004,-0.202671519
2018,Summer,RT_066,RT,15,4.8,2,0,7.674317059,44.5,1.273239545,100,1.098612289,-0.127931471
2018,Summer,RT_067,RT,13,8.7,7.5,0,6.538145776,38.1,3.463211562,272,2.140066163,-0.414171493
2018,Summer,RT_068,RT,13,7.9,9.5,0,3.567371114,42.26666667,9.39650784,738,2.351375257,-0.472249072
2018,Summer,RT_069,RT,15,5.3,1.9375,0,5.676194825,41.77777778,4.239887684,333,1.077558879,-0.122145014
2018,Summer,RT_070,RT,13,11.1,5.75,0,7.473983602,42.8,2.979380535,234,1.909542505,-0.350812857
2018,Summer,RT_071,RT,12,9,9.3125,0,5.03575253,43.4,1.031324031,81,2.333356752,-0.467296748
2018,Summer,RT_072,RT,13,4.3,4.625,0,10.3802518,40.28571429,0,0,1.727220948,-0.300702403
2018,Summer,RT_073,RT,14,3.1,6.125,0,10.00759365,38.46153846,0,0,1.963609726,-0.365673047
2018,Summer,RT_074,RT,14,6,0.6875,0,10.38340779,45.8,5.996958256,471,0.523248144,0.030205389
2018,Summer,RT_075,RT,14,8.3,11.5,0,11.8886518,45.14285714,2.291831181,180,2.525728644,-0.520169502
2018,Summer,RT_077,RT,13,6.2,1.25,0,8.066791258,36.6,5.589521601,439,0.810930216,-0.048863041
2018,Summer,RT_078,RT,13,7.5,5.5625,0,17.60322314,30.36363636,4.023436961,316,1.881371628,-0.343070188
2018,Summer,RT_079,RT,12,5.5,1.25,0,9.447982964,33.6,1.922591713,151,0.810930216,-0.048863041
2018,Summer,RT_080,RT,12,6.1,0.375,0,13.02918014,35.5,0.369239468,29,0.318453731,0.08649243
2019,Summer,REF_003,REF,13,7,3.625,0.016741071,,,4.456338407,350,1.531476371,-0.230161607
2019,Summer,REF_004,REF,11,6.4,3.9375,0.01171875,,,4.621859547,363,1.59685913,-0.253154155
2019,Summer,REF_005,REF,10,11.1,11.8125,0.950520833,,,0,0,2.550421257,0.423564652
2019,Summer,REF_006,REF,10,18,0.5,0.0625,,,0,0,0.405465108,0.125077652
2019,Summer,REF_007,REF,10,11.8,8,0.901860119,,,0,0,2.197224577,0.471978832
2019,Summer,REF_008,REF,13,11,25.0625,0.932040949,,,0,0,3.2604975,0.209922749
2019,Summer,REF_009,REF,10,8.8,0.3125,0,,,9.612958563,755,0.271933715,0.099278297
2019,Summer,REF_010,REF,10,15.6,2.375,0.218452381,,,0,0,1.216395324,0.058148647
2019,Summer,REF_012,REF,10,8.3,28.3125,0.515032844,,,4.965634224,390,3.378014046,-0.239384375
2019,Summer,REF_014,REF,11,9.1,9.5625,0.112553123,,,3.41228198,268,2.357309993,-0.36132709
2019,Summer,REF_015,REF,11,6.3,3.75,0.0125,,,4.927437038,387,1.558144618,-0.241732354
2019,Summer,REF_016,REF,10,11.5,6.1875,0.205430857,,,0.802140913,63,1.972343406,-0.162642613
2019,Summer,REF_017,REF,11,22.6,0,0,,,0,0,0,0.174018345
2019,Summer,REF_019,REF,10,12.4,15.625,0.850952381,,,0,0,2.810907587,0.252402426
2019,Summer,REF_020,REF,11,7.3,35.125,0.83617959,,,0,0,3.586985146,0.024327382
2019,Summer,REF_021,REF,11,12.3,15.375,0.975198413,,,0,0,2.795755782,0.380812879
2019,Summer,REF_022,REF,11,6.8,49.1875,0.968586417,,,0,0,3.915765992,0.066369923
2019,Summer,REF_024,REF,13,4.9,5.5625,0.008832046,,,0,0,1.881371628,-0.334238142
2019,Summer,REF_025,REF,10,11.2,13.5625,1,,,0,0,2.678449731,0.437855632
2019,Summer,REF_026,REF,12,9,2.75,0.003676471,,,4.061634148,319,1.32175584,-0.18558524
2019,Summer,REF_027,REF,10,15.2,10.25,0.959280303,,,0,0,2.420368129,0.468068777
2019,Summer,REF_028,REF,10,10.2,19.8125,0.945275867,,,0,0,3.035553768,0.28498268
2019,Summer,REF_029,REF,11,14.1,6.375,0.511300505,,,0,0,1.998095902,0.136149051
2019,Summer,REF_031,REF,10,10.1,16.25,0.138166722,,,5.716845556,449,2.847812143,-0.470526324
2019,Summer,REF_032,REF,10,15,12.8125,0.89296875,,,0,0,2.625573979,0.345357101
2019,Summer,REF_033,REF,10,11.6,1.375,0.097470238,,,1.158647986,91,0.864997437,0.033747007
2019,Summer,REF_034,REF,11,7.3,4.5625,0.092045455,,,0.381971863,30,1.716047647,-0.205586005
2019,Summer,REF_035,REF,11,11.5,13.9375,0.456998163,,,0,0,2.70387483,-0.112134206
2019,Summer,REF_036,REF,12,10.5,4.8125,0.141907051,,,3.959774984,311,1.760010771,-0.167807522
2019,Summer,REF_038,REF,10,16,8.125,0.972619048,,,0,0,2.211017899,0.538946713
2019,Summer,REF_039,REF,10,10.4,5.125,0.090432725,,,0.993126845,78,1.812378756,-0.233675009
